title,year_released,rating,category
Ψυχώ,1960,8.5,"Horror, Mystery, Thriller"
Η λάμψη,1980,8.4,"Drama, Horror"
"Άλιεν, ο Επιβάτης του Διαστήματος",1979,8.4,"Horror, Sci-Fi"
Τουμπάντ,2018,8.3,"Drama, Fantasy, Horror"
Η απειλή,1982,8.1,"Horror, Mystery, Sci-Fi"
Τι απέγινε η Μπέιμπι Τζέιν;,1962,8.1,"Drama, Horror, Thriller"
Οι Διαβολογυναίκες,1955,8.1,"Crime, Drama, Horror"
Το εργαστήρι του Δρ.Καλιγκάρι,1920,8.1,"Fantasy, Horror, Mystery"
Ο Εξορκιστής,1973,8,Horror
Το μωρό της Ρόζμαρυ,1968,8,"Drama, Horror"
Το ξύσιμο των νεκρών,2004,7.9,"Comedy, Horror"
"Ζόμπι, το ξύπνημα των νεκρών",1978,7.9,"Horror, Thriller"
Η νύχτα των ζωντανών νεκρών,1968,7.9,"Horror, Thriller"
Κινγκ Κονγκ,1933,7.9,"Adventure, Horror, Sci-Fi"
Ta Terata,1932,7.9,"Drama, Horror"
"Νοσφεράτου, μια Συμφωνία Τρόμου",1922,7.9,"Fantasy, Horror"
Μια μορφή στο παράθυρο,1961,7.8,Horror
Η Νύφη του Φρανκενστάιν,1935,7.8,"Drama, Horror, Sci-Fi"
Φρανκενστάιν,1931,7.8,"Drama, Horror, Sci-Fi"
Τρέξε!,2017,7.7,"Horror, Mystery, Thriller"
Όσα κάνουμε στις σκιές,2014,7.7,"Comedy, Horror"
Νεκρός την αυγή,1987,7.7,"Comedy, Horror"
Η Νύχτα με τις Μάσκες,1978,7.7,"Horror, Thriller"
Αποστροφή,1965,7.7,"Drama, Horror, Thriller"
Τα πουλιά,1963,7.7,"Drama, Horror, Mystery"
Ο ηδονοβλεψίας (1960),1960,7.7,"Drama, Horror, Thriller"
Matia horis prosopo,1960,7.7,"Drama, Horror"
Οι άνθρωποι του τρόμου,1956,7.7,"Drama, Horror, Sci-Fi"
Ο Αόρατος Ανθρωπος,1933,7.7,"Horror, Sci-Fi"
Το Εξπρές των Ζωντανών Νεκρών,2016,7.6,"Action, Horror, Thriller"
Το δέρμα που κατοικώ,2011,7.6,"Drama, Horror, Thriller"
Σε βλέπω,2004,7.6,"Horror, Mystery, Thriller"
Οι άλλοι,2001,7.6,"Horror, Mystery, Thriller"
